"OID_","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","SiteID","Elevation","WellDepthMeasureValue","AM_A_Amorph_7_16","AM_A_Analcime_7_16","AM_A_Aragon_7_16","AM_A_Calcite_7_16","AM_A_Ca_7_16","AM_A_Cd_7_16","AM_A_Ce_7_16","AM_A_Co_7_17","AM_A_Cr_7_17","AM_A_Cs_7_17","AM_A_Cu_7_17","AM_A_C_Inorg_7_16","AM_A_C_Tot_7_16","AM_A_Dolomite_7_16","AM_A_Fe_7_17","AM_A_Ga_7_17","AM_A_Goethite_7_16","AM_A_Gypsum_7_16","AM_A_Hematite_7_16","AM_A_Heuland_7_16","AM_A_Hg_7_17","AM_A_Hornbl_7_16","AM_A_Kaolinit_7_16","AM_A_K_7_17","AM_A_La_7_17","AM_A_Li_7_17","AM_A_Mg_7_17","AM_A_Mn_7_17","AM_A_Mo_7_17","AM_A_Na_7_17","AM_A_Nb_7_17","AM_A_Ni_7_17","AM_A_Other_7_16","AM_A_Pb_7_17","AM_A_Pyrite_7_16","AM_A_Pyroxene_7_16","AM_A_P_7_17","AM_A_Quartz_7_16","AM_A_Rb_7_17","AM_A_Sb_7_17","AM_A_Sc_7_17","AM_A_Serpent_7_16","AM_A_Se_7_18","AM_A_Sn_7_18","AM_A_Sr_7_18","AM_A_S_7_17","AM_A_Talc_7_16","AM_A_Te_7_18","AM_A_Th_7_18","AM_A_Ti_7_18","AM_A_Tl_7_18","AM_A_Tot_10A_7_16","AM_A_Tot_14A_7_16","AM_A_Tot_Carb_7_16","AM_A_Tot_Clay_7_16","AM_A_Tot_Flds_7_16","AM_A_Tot_K_fs_7_16","AM_A_Tot_Plag_7_16","AM_A_Tot_Zeol_7_16","AM_A_U_7_18","AM_A_V_7_18","AM_A_W_7_18","AM_A_Y_7_18","AM_A_Zn_7_18","LM_C_Ca_7_17","LM_C_Cd_7_17","LM_C_Ce_7_18","LM_C_Co_7_18","LM_C_Cr_7_18","LM_C_Cs_7_18","LM_C_CTot_7_15","LM_C_Cu_7_18","LM_C_Fe_7_18","LM_C_Ga_7_18","LM_C_Hg_7_18","LM_C_K_7_18","LM_C_La_7_18","LM_C_Li_7_18","LM_C_Mg_7_18","LM_C_Mn_7_18","LM_C_Mo_7_18","LM_C_Na_7_18","LM_C_Nb_7_18","LM_C_Ni_7_18","LM_C_P_7_18","LM_C_Pb_7_18","LM_C_Rb_7_18","LM_C_S_7_18","LM_C_Sb_7_18","LM_C_Sc_7_18","LM_C_Se_7_18","LM_C_Sn_7_18","LM_C_Sr_7_18","LM_C_Te_7_18","LM_C_Th_7_18","LM_C_Ti_7_18","LM_C_Tl_7_18","LM_C_U_7_15","LM_C_V_7_18","LM_C_W_7_18","LM_C_Y_7_18","LM_C_Zn_7_18","AN_Top5_Ag_7_17","AN_Top5_Al_7_17","AN_Top5_As_7_17","AN_Top5_Ba_7_17","AN_Top5_Be_7_17","AN_Top5_Bi_7_17","AN_Top5_Ca_7_17","AN_Top5_Cd_7_17","AN_Top5_Ce_7_17","AN_Top5_Co_7_17","AN_Top5_Cr_7_17","AN_Top5_Cs_7_17","AN_Top5_Cu_7_17","AN_Top5_Fe_7_17","AN_Top5_Ga_7_17","AN_Top5_Hg_7_17","AN_Top5_In_7_17","AN_Top5_K_7_17","AN_Top5_La_7_17","AN_Top5_Li_7_17","AN_Top5_Mg_7_17","AN_Top5_Mn_7_17","AN_Top5_Mo_7_18","AN_Top5_Na_7_18","AN_Top5_Nb_7_18","An_Top5_Ni_7_18","AN_Top5_P_7_18","AN_Top5_Pb_7_18","AN_Top5_Rb_7_18","AN_Top5_S_7_18","AN_Top5_Sb_7_18","AN_Top5_Sc_7_18","AN_Top5_Se_7_18","AN_Top5_Sn_7_18","AN_Top5_Sr_7_18","AN_Top5_Te_7_18","AN_Top5_Th_7_18","AN_Top5_Ti_7_18","AN_Top5_Tl_7_18","AN_Top5_U_7_18","AN_Top5_V_7_18","AN_Top5_W_7_18","AN_Top5_Y_7_18","AN_Top5_Zn_7_18","AN_C_Calcite_7_22","AN_C_Goethite_7_19","AN_C_Gypsum_7_22","AN_C_Hematite_7_22","AN_C_Heuland_7_19","AN_C_Hornbl_7_19","AN_C_Kaolinit_7_19","AN_C_Pyrite_7_19","AN_C_Pyroxene_7_19","AN_C_Quartz_7_19","AN_C_Talc_7_19","AN_C_Tot_10A_7_19","AN_C_Tot_14A_7_19","AN_C_Tot_Carb_7_19","AN_C_Tot_Flds_7_19","AN_C_Tot_K_fs_7_19","LM_C_Amorph_7_19","LM_C_Analcime_7_19","LM_C_aragon_7_19","LM_C_C_Inorg_7_19","LM_C_Dolomite_7_19","LM_C_Gibbsite_7_19","bfi48grd","PRISM_30yrNorm","Best_Guess__ac_","GENERALIZE_Igneous_volcanic","GENERALIZE_Sedimentary_clastic","GENERALIZE_Sedimentary_undifferentiated","GENERALIZE_Igneous_intrusive","GENERALIZE_Metamorphic_undifferentiated","GENERALIZE_Igneous_and_Sedimentary_undifferentiated","GENERALIZE_Unconsolidated_undifferentiated","GENERALIZE_Sedimentary_carbonate","GENERALIZE_Unconsolidated_and_Sedimentary_undifferentiated","GENERALIZE_Metamorphic_and_Sedimentary_undifferentiated","GENERALIZE_Water","UNIT_NAME_Residual_materials_developed_in_igneous_and_metamorphic_rocks","UNIT_NAME_Residual_materials_developed_in_sedimentary_rocks_discontinuous","UNIT_NAME_Basaltic_and_andesitic_volcanic_rocks","UNIT_NAME_Residual_materials_developed_in_fine-grained_sedimentary_rocks","UNIT_NAME_Residual_materials_developed_in_carbonate_rocks_discontinuous","UNIT_NAME_Alluvial_sediments_thick","UNIT_NAME_Alluvial_sediments_thin","UNIT_NAME_Eolian_sediments_mostly_dune_sand_thin","UNIT_NAME_Colluvial_sediments_thin","UNIT_NAME_Rhyolitic_volcanic_rocks","UNIT_NAME_Playa_sediments","UNIT_NAME_Water","UNIT_NAME_Eolian_sediments_mostly_loess_thin","UNIT_NAME_Glacial_till_sediments_mostly_sandy_thin","US_L3NAME_Arizona/New_Mexico_Mountains","US_L3NAME_Arizona/New_Mexico_Plateau","US_L3NAME_Sonoran_Basin_and_Range","US_L3NAME_Mojave_Basin_and_Range","US_L3NAME_Southern_Rockies","US_L3NAME_Colorado_Plateaus","US_L3NAME_Central_Basin_and_Range","US_L3NAME_Wasatch_and_Uinta_Mountains","bas1","bas5","bas10","As3Cat","spl3cat","spl5"
820,"As","Dissolved",2000,50590,"NULL","NULL",14.7901421,0,0.0130725,2.4719188,2.3229887,0.1597228,108.7807617,8.9910698,33.2174034,5.9759068,13.9556484,0.3162324,0.643778,0.0704914,3.041532,17.5797958,0,0,0.043873,0,0.0172332,1.5102055,0.2290805,2.3639457,52.592392,21.744957,0.7421631,524.616394,0.8401312,1.411485,18.7382126,16.1763268,0,23.0037804,0,0,641.4432373,41.8780174,109.3060455,0.4670269,10.5290632,0,0.2047234,2.734268,177.6357727,0.0163246,0,0.1,20.3872566,0.3060988,0.6811491,7.9530897,0.607001,2.5330484,8.9220381,32.2853355,12.9895153,19.0078926,0,2.8943164,49.8699875,1.8743529,31.4577007,55.2649269,4.7669158,0.1327341,93.8426285,7.9113116,28.5000439,5.0584011,1.2073102,14.7033682,2.6695919,14.3084087,0.0186248,1.9713055,45.5790024,22.6640396,0.7371079,463.1004333,0.7778634,1.4605922,13.1236992,14.7932816,567.0352173,18.2870522,90.1662903,0.0178551,0.3771963,9.5771236,0.2,2.5268993,194.6083069,0.1,16.4137268,0.3095439,0.5007782,2.3974388,51.1817818,3.0038748,26.4301243,51.1034164,1,5.6365266,4.0424919,685.0570679,2.1598334,0.2498618,1.9047328,0.1261765,101.6338043,8.1331415,35.1084099,5.3453212,13.4448557,3.1642013,15.7015524,0.0181168,0.066703,2.3947358,47.652523,20.3463764,0.6857144,510.7832947,0.8950164,1.4557419,18.3843269,15.5072584,700.2419434,22.1643562,100.0611038,0.0164028,0.4310241,10.7448864,0.2,3.0578303,177.0193939,0.1,18.8337307,0.3092407,0.6206576,2.8284597,52.7410164,1.9797587,30.1511154,55.320858,8.9957695,0,0,0.0621934,0,1.3216802,0.234357,0,0.1221211,38.3486137,0,7.5859776,0.771605,8.7032213,33.006588,12.3105173,12.7271376,0,0,1.0544074,0.1196043,0,16,148.9156952,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"C3",TRUE,TRUE
863,"As","Dissolved",21,50831,"2365","385",15.0719128,0,0.0130468,2.5416214,2.3824174,0.1659625,109.1321793,9.1248894,33.4444427,6.0117464,14.3300266,0.3260835,0.692907,0.078502,3.0280745,17.2340908,0,0,0.0482466,0,0.0172766,1.4831151,0.2445757,2.3206773,52.8914261,21.9497356,0.7470603,526.9767456,0.8498484,1.3570927,18.3838882,16.3139286,0,22.7921677,0,0,642.2783813,42.4408264,107.8878479,0.487712,10.3576193,0,0.205051,2.6708865,176.9369507,0.0168018,0,0.1,20.0889072,0.305638,0.6733311,8.0611629,0.6044301,2.6193488,8.9982872,31.0694866,12.4177914,18.4818974,0,2.8918679,50.3383675,1.8361715,30.9350758,55.2336388,4.9796824,0.1328377,92.4130707,7.9685321,28.6093674,5.0673022,1.3178349,14.8109751,2.6351583,14.0196638,0.0186516,1.9323671,44.9453888,22.9551735,0.7504008,463.8643799,0.777438,1.4113706,12.797431,14.9277115,570.2506714,17.890274,89.2460175,0.0179243,0.3795634,9.3808289,0.2,2.4178631,195.5830536,0.1,15.9945288,0.3062503,0.4978841,2.3955121,51.3511353,2.9427409,25.9320011,50.8248978,1,5.5438466,4.299407,669.8769531,2.1328132,0.2484325,1.9630535,0.1297275,101.0205688,8.2571011,35.1919289,5.3619895,13.7059641,3.1256065,15.6095114,0.0182565,0.0651227,2.3435385,47.5267525,20.6819801,0.6929816,513.7113647,0.8985221,1.40137,17.9346409,15.6716223,699.9403687,22.0688248,99.3705521,0.0169084,0.4533305,10.6242142,0.2,2.9494057,176.3379974,0.1,18.3571701,0.3075232,0.6155282,2.807513,52.8525238,1.9036109,29.6971226,55.2598457,9.4481535,0,0,0.0650154,0,1.3176481,0.2509021,0,0.1198761,38.5313683,0,7.6237283,0.7715479,9.242074,31.8125229,11.8091116,12.9869347,0,0,1.1194983,0.1411731,0,15,159.7621918,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"C3",TRUE,FALSE
73,"As","Dissolved",0,114526,"NULL","NULL",16.5705814,0,0.0201289,2.4750907,2.236676,0.1493927,93.7772675,11.5074816,42.5661583,5.8970103,21.2920361,0.3221143,0.6308361,0.0960298,3.3505154,16.821312,0,0,0.0510942,0,0.0370878,1.2984704,0.2074866,2.4015052,44.8363953,22.1441784,0.858818,539.6126099,0.8422117,1.2933581,18.5248947,19.9321365,0.7528833,24.8676929,0,0,523.9891968,38.5764351,114.1606674,0.6683478,9.7199993,0,0.2061815,2.5934613,211.6193237,0.0145948,0,0.1,19.529789,0.3574544,0.6490378,7.8410234,1.4010583,2.5656912,9.348526,30.232439,13.6260605,16.47369,0,2.8136969,64.0037231,1.7421339,28.1396866,58.8454323,3.4852235,0.1065543,91.5152664,11.0245256,41.7854004,5.6937213,0.8773533,23.1974735,3.2151949,15.4618797,0.03156,2.254705,45.1194992,26.8980255,1.0670381,514.2713623,0.8449569,1.2211086,14.9981842,21.4942513,460.7613525,23.0430965,105.0334854,0.0430619,0.557453,10.226284,0.2198721,2.1721659,252.950119,0.1,18.3317242,0.3580789,0.6158018,2.6336925,68.0677795,2.4696798,26.2278137,59.565773,1,5.9397707,5.1212683,710.7510376,2.4501801,0.4700435,2.2057283,0.1531699,102.3090057,11.8478384,51.1019249,6.2429209,23.7828064,3.9677472,15.3433771,0.0318024,0.0607992,2.4819098,48.9491959,21.9733696,0.9240154,614.0116577,0.9620839,1.3129081,20.3013325,20.6832561,647.6166992,27.7812881,115.7483902,0.0163461,0.7202235,9.9915934,0.2,2.9237885,214.6235657,0.1,22.9820576,0.4123739,0.6733711,3.2643204,77.8932724,2.2546527,28.3575592,65.6222,4.277369,0,0.17687,0.0778467,0.1064865,1.044561,0.5955001,0,0.1283738,34.2438393,0,7.1579428,1.909327,4.3233523,28.7896996,12.2209778,20.7843189,0,0,0.5299421,0.089277,0,23,222.2966003,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"C1",TRUE,TRUE
1518,"As","Dissolved",1,259546,"5560","163",13.6600046,0,0.0324025,1.7675259,1.6131998,0.148107,29.8352375,4.6061254,28.5468292,5.5070257,9.6010218,0.5696197,1.6816169,2.9747038,1.0462375,6.4844899,0,0,0.0357836,0,0.0147109,0,1.8777119,1.418959,15.9974413,21.3953629,0.8436375,282.6063843,0.6356227,0.2246687,4.5717244,12.3806152,0,11.0157442,0,0.2239272,734.168396,70.2042465,56.0017357,0.3616411,3.5874233,0,0.2502531,0.7936017,123.3745041,0.0229912,0,0.1,4.0823402,0.1060594,0.2996359,4.7193904,0.4769796,4.4679146,7.3445039,9.6704702,4.827939,4.8334017,0,1.402384,29.0149059,0.5307969,9.5436401,30.1989727,2.8140082,0.12521,28.9771023,4.6604099,27.2495174,5.1521745,1.3599678,10.847209,1.0757552,6.1518726,0.0158566,1.2202296,16.8295174,18.0138588,0.8558555,196.8443604,0.5972688,0.1191498,3.7451384,13.1172791,707.9639282,10.4659967,47.7237625,0.0879379,0.3498483,3.4913974,0.2188401,0.7753328,100.8934174,0.1,4.7675052,0.0935612,0.346719,1.7882745,32.0355186,0.5569193,11.387476,28.5969658,1,2.6287243,3.5594587,406.4000244,0.696519,0.1379657,1.7068597,0.1701937,25.0422459,3.6173215,26.908783,5.193943,8.2717609,0.9546632,5.8754082,0.0139053,0.0221168,1.3998615,14.3277159,15.4531641,0.6959655,227.4326172,0.5592148,0.2905742,3.4941404,12.0570259,858.5411377,13.1699677,49.2101669,0.0250823,0.3461886,2.8931026,0.2560927,0.781022,129.2462921,0.1,3.7597914,0.0939883,0.320474,1.1389014,26.2430115,0.5446631,8.1137648,32.4326401,6.084691,0,0.2090078,0.1246097,0,0.0277227,1.6710891,0,0.187584,73.2969284,0,5.79566,0.5938034,7.3278241,5.0931778,3.3791358,10.2670641,0.0192974,0.0814534,0.9107029,3.0831227,0,77,404.4841003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"C1",FALSE,TRUE
712,"As","Dissolved",0,113751,"NULL","NULL",15.2956896,0,0.0130784,3.1225004,2.3815,0.1567082,107.7397079,9.3356524,37.0928841,6.0704403,14.016201,0.3748893,0.5165944,0,3.129503,18.7307491,0,0,0.046591,0,0.0392745,1.6069614,0.1285238,2.4961073,51.7444077,22.0857601,0.772584,549.6481934,0.8117071,1.5187258,19.9402027,18.044796,0,24.359911,0.0130317,0.1070953,658.6635742,39.0009995,115.1063156,0.4368143,11.6138916,0,0.2045758,2.7671664,182.5833588,0.0144889,0,0.1,20.4738121,0.3125343,0.7131767,7.9435067,0.7388649,2.9987969,9.1457653,35.7214317,14.5545931,20.8992672,0,2.801501,51.0847588,1.9820118,31.9946709,59.0328903,3.9557106,0.1327517,97.352066,8.5674639,32.3322449,5.0261083,0.8209133,15.6890697,2.8314023,15.1275826,0.0342694,2.0733662,47.4344139,22.8605633,0.7304792,478.3345642,0.7827319,1.5787022,14.1197538,16.6626797,568.0731812,19.8497658,91.3905182,0.01656,0.4149519,10.5276918,0.2,2.7462046,193.9104462,0.1,17.4454536,0.3300237,0.5311727,2.4812875,54.7736206,3.2361829,27.3014774,55.7128258,1,6.023746,3.8503096,734.0889282,2.2656319,0.2528118,1.8227068,0.1313654,99.9863892,8.3233604,37.6922913,5.6434855,13.3935556,3.1516392,15.9490633,0.0302047,0.0696722,2.5579414,47.0029449,20.0867405,0.7064841,526.0383911,0.8760501,1.5894814,19.22155,16.7466393,711.2180176,24.7693157,101.372612,0.0142659,0.3931575,11.3204346,0.2,3.169522,183.5726929,0.1,18.9910679,0.3093433,0.6439162,2.7335746,52.5253906,2.0898249,30.0311012,57.9289513,6.9834943,0,0,0.1025632,0,1.4612281,0.2690497,0,0.1217368,36.1497955,0,7.5821009,0.8189018,6.4172263,36.0564766,13.3553848,12.4734488,0,0,0.7777735,0,0,17,309.6685791,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"C1",FALSE,TRUE
593,"As","Dissolved",1.9,49555,"4722","38",16.7743721,0.0936209,0,3.6492493,2.9423943,0.1748472,43.4881134,11.9089928,37.1412086,6.0701113,17.1218357,0.4766056,1.245257,0.2544296,2.207844,9.5318947,0,0,0.3528458,0,0.0133552,0,2.3336303,1.467953,22.0929317,16.6434956,0.8246188,469.0641174,0.5491374,0.6635439,12.3742237,24.1981716,0,14.9265566,0,1.7560194,572.7203369,51.6768494,60.1000443,0.5654619,7.8627625,0,0.2264398,1.0445147,183.1019135,0.0175261,0,0.1,6.0081186,0.3027099,0.326331,5.6507139,0.2140935,3.9954038,8.2477064,15.3545427,5.0479345,10.4789782,0.1037582,1.534915,53.1055412,0.7671914,14.5092525,43.2950554,3.9938242,0.1199223,41.4092712,7.8159065,29.5706387,7.0814667,1.4233379,14.5954523,1.8510201,9.4766808,0.0140018,1.4895078,20.977211,18.8108616,0.7219822,352.4384766,0.5884224,0.4793052,10.3272085,21.0113163,490.7680054,14.2528152,60.7884026,0.0180468,0.5210919,5.8445525,0.2402655,1.1060346,160.6691895,0.1,6.0815973,0.2377296,0.3445708,1.6051996,44.5722046,0.7408732,13.3376064,37.5082893,1,3.9035029,4.2919354,514.1879883,1.0505505,0.1358922,3.6692026,0.1764898,41.0743294,11.2216816,37.4958458,5.4034057,16.1498775,2.1526401,8.19907,0.0126101,0.0301195,1.318952,21.1847687,14.6858568,0.901319,464.6948547,0.4961002,0.6758097,11.233222,25.4264126,560.3265991,14.8967237,50.9663162,0.0179225,0.4985696,6.9324403,0.211282,0.9287971,190.8015137,0.1,5.2237096,0.2982287,0.2706744,1.3836778,51.5028152,0.6647179,13.065752,45.4379578,7.1841855,0,0,0.2395977,0,0,3.4392192,0,0.5888799,53.6214561,0,5.6914425,0.967828,7.7613792,10.8780584,4.8127484,16.3717613,0,0.0130148,0.9360729,0.3073905,0,26,201.4317017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"C1",TRUE,TRUE
1165,"As","Dissolved",1,52090,"6465","554",9.5406723,0,0.1196259,1.7097161,0.9634356,0.1201741,39.2555923,3.6629386,10.2374649,5.3696575,9.6855659,0.3102748,0.5304707,0.6483355,0.9618253,6.5948124,0,0,0,0,0.0126182,0,2.0317562,1.4748818,18.8974342,17.3677998,0.5114418,187.683548,0.3490818,0.3323213,5.1671762,5.8635845,0,14.5208807,0,0,215.2323303,68.8368225,59.7600479,0.5154727,4.2185407,0,0.2888961,0.8777412,88.1726151,0.0192068,0,0.1,6.472331,0.1441263,0.4509956,4.2168107,0.389778,2.495132,6.6001406,12.781888,7.5902867,5.1929064,0,1.7368901,24.9225311,0.5740103,10.8858032,26.0980854,2.2870369,0.196163,43.1885147,11.1948004,16.1996136,6.4240336,0.9653288,14.5413017,1.30935,8.6623106,0.0426744,1.681535,20.2508202,25.3415642,0.5986813,277.8320618,0.4581298,0.3126408,6.5319347,14.7163925,259.3239746,15.33671,68.0209885,0.0238551,0.5976677,5.6763501,0.3018645,1.1948893,120.7550125,0.1,6.646225,0.1645439,0.5416591,2.2580464,36.1469154,0.7439752,16.8931084,53.0600471,1,3.0099127,3.0539269,477.4996948,0.9261338,0.1219679,0.7407192,0.101366,33.8484344,3.3719187,9.0108433,5.118278,8.0069971,0.9044272,5.7867489,0.01,0.0256174,1.4967653,16.5893021,15.1641874,0.4579798,171.4634857,0.3021447,0.3311336,4.8861995,5.5131516,228.4077301,13.4139137,55.9043465,0.0186699,0.4489717,3.525594,0.2533344,0.8075704,79.7253571,0.1,5.8496928,0.1327261,0.4078987,1.5698067,22.8501072,0.5192823,9.8823032,23.1624146,4.641233,0,0,0.0540395,0,0,3.1384845,0,0,63.122097,0,6.038743,0.7414934,5.3990192,10.1004896,6.4346461,12.5999203,0,0,0.6613795,0.7199507,0,48,231.0243988,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"C1",FALSE,TRUE
1883,"As","Dissolved",0.9,152975,"5279.43","8.8",18.6401806,0.1433812,0,0.5129067,0.8088168,0.3283059,51.6778831,7.8005395,22.3703995,5.4370618,15.3823652,0.064096,2.2799845,0,1.9250977,10.4332476,0,0,0.2532066,0,0.0185978,0,2.0058653,1.6397927,25.1669846,26.6950054,0.4528396,593.1647949,1.1105242,0.5496594,8.9619665,10.3506432,0,23.6537781,0,0,496.3346558,56.353653,74.0485229,0.4867586,5.5404611,0,0.2523817,1.4069546,134.7375946,0.0278746,0.0588626,0.1009714,8.4071598,0.2295865,0.5108981,7.7216263,0.2918352,0.5278404,9.9000731,13.8914976,6.4613724,7.3813696,0.1436342,2.1414454,50.3507042,0.911062,14.2731695,53.8025894,1.8421892,0.2046302,54.327549,7.6104274,23.2232418,5.2653179,1.6928967,14.2704678,1.8235301,10.7718868,0.0178633,1.5572217,25.9771366,31.1848106,0.5821348,519.9528809,0.8990071,0.5255731,8.5372038,11.777977,366.1365967,21.3032475,71.0635147,0.0843889,0.6403216,5.6373496,0.2605364,1.2425126,144.9503021,0.1,8.1179571,0.2299421,0.448442,2.0851302,51.2664719,1.1617345,15.0136948,52.7728653,0.824396,3.867604,6.0959749,510.8502808,1.1163974,0.2164314,0.6773039,0.3561865,54.9379692,8.4434195,19.8560638,5.4636827,14.627532,1.7598917,10.5213118,0.0208698,0.0390631,1.5606973,26.4801636,24.1223488,0.4204939,528.4636841,1.072597,0.5329583,9.5018024,9.4863119,481.1089172,24.4390545,75.1279678,0.0298142,0.6551266,5.1535001,0.2380641,3.1031592,134.7761078,0.0975983,9.070508,0.2093502,0.4779631,2.1493611,42.8995781,0.9801802,16.829668,33.2146339,2.7415345,0,0.3472302,0.0463066,0,0,2.6591237,0,0,55.2141838,0,7.096652,1.6335542,3.2239296,11.76896,6.2007895,17.9101086,0,0,0.3874593,0.3693667,0,49,318.9719849,600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"C1",TRUE,TRUE
383,"As","Dissolved",0,8082,"6580","NULL",30.401886,0,0,4.7462626,3.5431709,0.3466744,67.3751373,20.5525131,107.1422501,6.086051,32.1406441,0.740527,1.6399094,1.2065866,3.8816047,14.4369183,0,0,0.5064894,0.3223011,0.0260101,0.3544721,1.1461968,1.3687227,32.8257332,25.675457,1.4535434,793.7664185,0.7502198,0.7533686,19.792614,60.7020531,0.0736669,19.5773773,0.0131408,3.8340292,840.1326294,30.5006084,64.5281754,0.8781934,12.8792915,0,0.2609359,1.7223225,225.0792542,0.0242026,0,0.1,9.7540588,0.4897178,0.379094,7.7763376,3.446003,5.9147887,11.9139528,15.9944611,3.7582815,11.9223633,0.227381,1.9321827,90.6517487,1.1626389,20.1213551,73.4459381,4.8246074,0.1538968,68.7351227,21.3733253,100.0978012,5.6808043,1.4786114,32.7648621,4.1800094,15.2741785,0.0160259,1.3502226,34.7900467,31.9051571,1.3150009,770.4161377,0.7087411,0.7086263,18.942852,60.1874619,814.454895,15.4528732,61.0838699,0.0246957,1.3544865,12.8261013,0.2196072,1.6391286,220.7558746,0.1,9.6927929,0.4868817,0.4606018,2.1614497,93.3540039,1.3968123,21.4732533,70.7883682,1,5.4930935,7.5802011,537.6395264,1.6075922,0.2568057,2.7291479,0.3068129,63.948658,20.0127296,115.8883514,5.6918235,29.4976559,3.847446,13.7396946,0.0298583,0.0534332,1.2977407,33.2559319,24.1650906,1.3785233,772.6452637,0.7980593,0.7529372,18.6771812,56.8890305,858.6608887,29.5781212,59.0300255,0.0288159,0.8526794,12.2879753,0.2662524,1.6266788,222.2552032,0.1066324,9.106144,0.4908124,0.3780416,1.967129,93.6179352,1.1361005,19.0254879,74.0859222,7.3962708,0,0,0.6469548,0,0.1384968,2.7501869,0,2.4129884,24.7306118,0,5.8669233,7.2335,7.972775,14.4993382,3.3072124,33.9887695,0.0196868,0,0.9747849,0.6103673,0,32,585.9887695,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"C1",TRUE,TRUE
693,"As","Dissolved",0,114541,"NULL","NULL",15.0912056,0,0.0130783,4.3524032,2.6729014,0.1596544,107.5638123,9.5875931,37.450985,5.9204173,14.2426414,0.5133158,0.5417947,0,3.1801298,18.8294487,0,0,0.0584541,0,0.038644,1.6103736,0.132978,2.4571497,51.2930717,21.2691364,0.7658369,555.2350464,0.806974,1.5247097,20.0038815,17.967638,0,24.2032337,0.0129977,0.1047566,672.737854,38.7136497,113.1433105,0.4498219,11.680953,0,0.2,2.8463955,182.9359436,0.0138812,0,0.1,19.7008991,0.3270863,0.6995649,7.8001318,0.6354302,4.1099133,8.8187628,36.0310593,14.2307701,21.9291458,0,2.7779021,51.9984207,1.9704585,33.0765915,58.6818008,3.8329892,0.1262795,97.2352219,8.756773,33.4183998,5.0285497,0.7958109,15.770771,2.9061441,15.2315779,0.0329651,2.09393,47.3078194,23.2367554,0.7646883,497.5025024,0.773985,1.589808,14.3492708,17.2285461,577.1928101,19.8583298,91.9007492,0.0146579,0.412981,10.4880047,0.2,2.7695673,197.3220367,0.1,17.0259323,0.3478186,0.5667253,2.4639235,55.5051308,3.1716435,27.6348782,56.5552444,1,6.0165491,4.2190895,737.3665771,2.3307581,0.2483201,1.9865948,0.1377749,99.8146439,8.550952,38.8107147,5.5642591,13.2693872,3.2375755,15.9460516,0.0296877,0.0692656,2.5281522,46.8249359,19.5941257,0.7039852,544.0932007,0.8688219,1.6000522,19.5339088,16.8995171,727.2435303,24.4006882,101.4678497,0.0141524,0.402247,11.1902599,0.2,3.2532926,185.2147522,0.1,18.5052261,0.3261333,0.6345673,2.7538786,54.0921555,2.1434443,30.7686348,58.5593109,6.4847918,0,0,0.1063349,0,1.4956454,0.3286959,0,0.1226487,36.2741318,0,7.4209862,0.9218042,5.9869914,36.3134155,13.0638618,12.4991598,0,0,0.7246657,0,0,17,272.0513916,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"C1",FALSE,TRUE
