"","OID_","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","SiteID","Elevation","WellDepthMeasureValue","AM_A_Amorph_7_16","AM_A_Analcime_7_16","AM_A_Aragon_7_16","AM_A_Calcite_7_16","AM_A_Ca_7_16","AM_A_Cd_7_16","AM_A_Ce_7_16","AM_A_Co_7_17","AM_A_Cr_7_17","AM_A_Cs_7_17","AM_A_Cu_7_17","AM_A_C_Inorg_7_16","AM_A_C_Tot_7_16","AM_A_Dolomite_7_16","AM_A_Fe_7_17","AM_A_Ga_7_17","AM_A_Goethite_7_16","AM_A_Gypsum_7_16","AM_A_Hematite_7_16","AM_A_Heuland_7_16","AM_A_Hg_7_17","AM_A_Hornbl_7_16","AM_A_Kaolinit_7_16","AM_A_K_7_17","AM_A_La_7_17","AM_A_Li_7_17","AM_A_Mg_7_17","AM_A_Mn_7_17","AM_A_Mo_7_17","AM_A_Na_7_17","AM_A_Nb_7_17","AM_A_Ni_7_17","AM_A_Other_7_16","AM_A_Pb_7_17","AM_A_Pyrite_7_16","AM_A_Pyroxene_7_16","AM_A_P_7_17","AM_A_Quartz_7_16","AM_A_Rb_7_17","AM_A_Sb_7_17","AM_A_Sc_7_17","AM_A_Serpent_7_16","AM_A_Se_7_18","AM_A_Sn_7_18","AM_A_Sr_7_18","AM_A_S_7_17","AM_A_Talc_7_16","AM_A_Te_7_18","AM_A_Th_7_18","AM_A_Ti_7_18","AM_A_Tl_7_18","AM_A_Tot_10A_7_16","AM_A_Tot_14A_7_16","AM_A_Tot_Carb_7_16","AM_A_Tot_Clay_7_16","AM_A_Tot_Flds_7_16","AM_A_Tot_K_fs_7_16","AM_A_Tot_Plag_7_16","AM_A_Tot_Zeol_7_16","AM_A_U_7_18","AM_A_V_7_18","AM_A_W_7_18","AM_A_Y_7_18","AM_A_Zn_7_18","LM_C_Ca_7_17","LM_C_Cd_7_17","LM_C_Ce_7_18","LM_C_Co_7_18","LM_C_Cr_7_18","LM_C_Cs_7_18","LM_C_CTot_7_15","LM_C_Cu_7_18","LM_C_Fe_7_18","LM_C_Ga_7_18","LM_C_Hg_7_18","LM_C_K_7_18","LM_C_La_7_18","LM_C_Li_7_18","LM_C_Mg_7_18","LM_C_Mn_7_18","LM_C_Mo_7_18","LM_C_Na_7_18","LM_C_Nb_7_18","LM_C_Ni_7_18","LM_C_P_7_18","LM_C_Pb_7_18","LM_C_Rb_7_18","LM_C_S_7_18","LM_C_Sb_7_18","LM_C_Sc_7_18","LM_C_Se_7_18","LM_C_Sn_7_18","LM_C_Sr_7_18","LM_C_Te_7_18","LM_C_Th_7_18","LM_C_Ti_7_18","LM_C_Tl_7_18","LM_C_U_7_15","LM_C_V_7_18","LM_C_W_7_18","LM_C_Y_7_18","LM_C_Zn_7_18","AN_Top5_Ag_7_17","AN_Top5_Al_7_17","AN_Top5_As_7_17","AN_Top5_Ba_7_17","AN_Top5_Be_7_17","AN_Top5_Bi_7_17","AN_Top5_Ca_7_17","AN_Top5_Cd_7_17","AN_Top5_Ce_7_17","AN_Top5_Co_7_17","AN_Top5_Cr_7_17","AN_Top5_Cs_7_17","AN_Top5_Cu_7_17","AN_Top5_Fe_7_17","AN_Top5_Ga_7_17","AN_Top5_Hg_7_17","AN_Top5_In_7_17","AN_Top5_K_7_17","AN_Top5_La_7_17","AN_Top5_Li_7_17","AN_Top5_Mg_7_17","AN_Top5_Mn_7_17","AN_Top5_Mo_7_18","AN_Top5_Na_7_18","AN_Top5_Nb_7_18","An_Top5_Ni_7_18","AN_Top5_P_7_18","AN_Top5_Pb_7_18","AN_Top5_Rb_7_18","AN_Top5_S_7_18","AN_Top5_Sb_7_18","AN_Top5_Sc_7_18","AN_Top5_Se_7_18","AN_Top5_Sn_7_18","AN_Top5_Sr_7_18","AN_Top5_Te_7_18","AN_Top5_Th_7_18","AN_Top5_Ti_7_18","AN_Top5_Tl_7_18","AN_Top5_U_7_18","AN_Top5_V_7_18","AN_Top5_W_7_18","AN_Top5_Y_7_18","AN_Top5_Zn_7_18","AN_C_Calcite_7_22","AN_C_Goethite_7_19","AN_C_Gypsum_7_22","AN_C_Hematite_7_22","AN_C_Heuland_7_19","AN_C_Hornbl_7_19","AN_C_Kaolinit_7_19","AN_C_Pyrite_7_19","AN_C_Pyroxene_7_19","AN_C_Quartz_7_19","AN_C_Talc_7_19","AN_C_Tot_10A_7_19","AN_C_Tot_14A_7_19","AN_C_Tot_Carb_7_19","AN_C_Tot_Flds_7_19","AN_C_Tot_K_fs_7_19","LM_C_Amorph_7_19","LM_C_Analcime_7_19","LM_C_aragon_7_19","LM_C_C_Inorg_7_19","LM_C_Dolomite_7_19","LM_C_Gibbsite_7_19","bfi48grd","PRISM_30yrNorm","Best_Guess__ac_","GENERALIZE_Igneous_volcanic","GENERALIZE_Sedimentary_clastic","GENERALIZE_Sedimentary_undifferentiated","GENERALIZE_Igneous_intrusive","GENERALIZE_Metamorphic_undifferentiated","GENERALIZE_Igneous_and_Sedimentary_undifferentiated","GENERALIZE_Unconsolidated_undifferentiated","GENERALIZE_Sedimentary_carbonate","GENERALIZE_Unconsolidated_and_Sedimentary_undifferentiated","GENERALIZE_Metamorphic_and_Sedimentary_undifferentiated","GENERALIZE_Water","UNIT_NAME_Residual_materials_developed_in_igneous_and_metamorphic_rocks","UNIT_NAME_Residual_materials_developed_in_sedimentary_rocks_discontinuous","UNIT_NAME_Basaltic_and_andesitic_volcanic_rocks","UNIT_NAME_Residual_materials_developed_in_fine.grained_sedimentary_rocks","UNIT_NAME_Residual_materials_developed_in_carbonate_rocks_discontinuous","UNIT_NAME_Alluvial_sediments_thick","UNIT_NAME_Alluvial_sediments_thin","UNIT_NAME_Eolian_sediments_mostly_dune_sand_thin","UNIT_NAME_Colluvial_sediments_thin","UNIT_NAME_Rhyolitic_volcanic_rocks","UNIT_NAME_Playa_sediments","UNIT_NAME_Water","UNIT_NAME_Eolian_sediments_mostly_loess_thin","UNIT_NAME_Glacial_till_sediments_mostly_sandy_thin","US_L3NAME_Arizona.New_Mexico_Mountains","US_L3NAME_Arizona.New_Mexico_Plateau","US_L3NAME_Sonoran_Basin_and_Range","US_L3NAME_Mojave_Basin_and_Range","US_L3NAME_Southern_Rockies","US_L3NAME_Colorado_Plateaus","US_L3NAME_Central_Basin_and_Range","US_L3NAME_Wasatch_and_Uinta_Mountains","bas1","bas5","bas10","As3Cat","trainCat3"
"2",2,"As","Dissolved",6,38036,7990,165,26.1602802,0.0400184,0,0.1574679,2.0782852,0.1821951,61.5275345,23.9001579,108.4047852,5.9092093,33.5948677,0.0161105,1.7363195,0,4.3534846,17.5776882,0,0,1.4330881,0.3091999,0.0234418,0,1.8950739,2.0689843,32.7616005,24.333559,1.3619295,924.5375977,0.9235353,1.7095718,20.2605362,58.7038231,1.2038368,18.9848766,0,3.200372,909.7567139,19.617836,90.9576569,0.7327161,12.1900997,0,0.2199731,1.6477244,347.6655579,0.0233637,0,0.1,9.7093887,0.5671348,0.3968582,5.6809387,1.4911927,0.1509328,9.0568199,40.4746437,10.0829916,28.7376289,0.5310997,2.2214639,97.0307465,1.1100608,20.7410431,73.8760605,2.1645558,0.119311,67.7906113,22.3567772,103.3178787,7.2331424,0.7982382,37.6112366,4.337986,20.4842358,0.0288931,1.9451544,35.0159264,31.3291836,1.4150099,738.2472534,0.8404235,1.6515231,22.8466625,64.9748306,729.5897217,16.8307915,91.0724182,0.0296466,0.6707546,13.3736897,0.2289477,1.8093657,318.6491699,0.1,11.8366594,0.5293773,0.3953775,2.3158207,95.3097839,1.4742844,24.5883522,72.5523376,1,7.1907368,3.9326389,742.0608521,1.7160352,0.3438412,2.2089584,0.2216025,59.4018517,23.2146225,97.4975891,5.5668445,35.559082,4.2788258,17.4999523,0.0312448,0.0557588,2.061645,31.3646278,22.1830692,1.3293253,948.2385864,1.0080129,1.7545543,18.9789238,54.6416435,885.3959351,21.6471844,80.1409225,0.0265252,0.6245465,11.6789846,0.2385484,1.7301128,368.706665,0.1,8.6377926,0.5415795,0.3595326,2.1208177,95.3699875,0.9836919,19.0957451,77.3564301,0.6695518,0.1854274,0,1.0194386,0.4349828,0.0426985,1.0078552,0,4.1897368,13.8795862,0,7.0218315,4.0745111,0.6660823,37.780941,11.0646238,30.5513897,0,0,0.0748654,0,0,55,502.2991943,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1
"7",7,"As","Dissolved",1,7275,8045,268,26.9844208,0.0401657,0,0.1720056,2.1121912,0.1847657,61.643074,25.3440456,118.1618423,5.9294229,35.7022362,0.0179978,1.8411996,0,4.4846182,17.8787689,0,0,1.5075589,0.3085047,0.0235723,0,1.9777051,2.0184505,32.6877136,23.8506641,1.3863727,998.2875366,0.9332629,1.6764548,21.5192909,61.7275887,1.2029004,18.8673439,0,3.1783221,951.4154053,19.0126877,88.6842346,0.7414722,12.6679907,0,0.2210701,1.6841818,362.6569214,0.0234779,0,0.1,9.5773859,0.5927685,0.3962197,5.9542651,1.4976523,0.1677509,9.4489059,39.3092194,9.5179691,28.301878,0.5216286,2.1749816,99.2830124,1.1311656,20.6579533,75.6145782,2.25192,0.1193938,67.7589264,23.4205189,109.4350357,7.2232323,0.8135189,38.8932343,4.4579129,20.2371197,0.0266637,1.9188141,34.9280548,29.3735352,1.4403068,778.0305176,0.8228053,1.6211787,23.9216309,67.223999,757.4440918,16.631855,87.7607422,0.0303151,0.6388641,13.7235174,0.2300578,1.7984309,341.6434631,0.1,11.5972443,0.5455368,0.3910501,2.2606819,96.785965,1.4141618,24.6305809,72.7934418,1,7.2374611,4.0329762,761.2793579,1.7185265,0.3555053,2.2369335,0.2315044,59.8344574,24.35182,107.7311096,5.5793424,37.8726387,4.4168453,17.6439018,0.0336651,0.0581901,2.0180688,31.7356148,21.6995029,1.3581349,1026.6208496,1.0238578,1.714331,19.6308975,57.6175613,931.7104492,21.5493546,78.2550735,0.0274033,0.633123,12.0362082,0.2412393,1.7544334,383.0274353,0.1,8.7357302,0.5664819,0.3587809,2.1014621,97.7476883,0.9814855,19.0015202,79.8152466,0.7416958,0.0610486,0,1.0535377,0.4336576,0.0440253,1.1715654,0,4.2084126,13.798625,0,6.3674054,4.3195376,0.7372595,37.2368927,10.6616898,30.6052284,0,0,0.0820524,0,0,55,575.8623047,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"19",19,"As","Dissolved",0,7330,8293,150,27.0580082,0.0400053,0,0.191401,2.0845528,0.1838621,61.9022102,25.3329353,121.6138687,5.9335532,34.2933311,0.0203464,1.8459762,0,4.4577608,17.7435703,0,0,1.5078057,0.3048381,0.0235465,0,2.0059149,2.0072474,32.861824,23.8944664,1.3949244,1003.3380737,0.9404381,1.6445857,21.9867649,62.4099464,1.2037174,18.8976364,0,3.1905453,943.291626,19.7769337,88.993988,0.7441563,12.6715126,0,0.2212574,1.6988305,355.3542175,0.0234804,0,0.1,9.7431316,0.5963737,0.4025131,6.0172138,1.4963399,0.1899869,9.5269909,38.2129669,9.5029583,27.4716625,0.4855318,2.1842237,98.6685104,1.1402847,20.6107998,75.0637054,2.2562768,0.119431,68.0324631,23.4632626,111.2826767,7.2340183,0.8053944,38.8783302,4.4499884,20.1475239,0.0266304,1.906613,35.3026009,29.3819656,1.4534651,769.9082031,0.8264594,1.5801995,24.4459743,67.4095306,752.4108276,16.6362915,88.0150986,0.0303804,0.6402137,13.7037621,0.229599,1.7970885,336.4107361,0.1,11.7846537,0.5471815,0.3946567,2.2676694,95.9688416,1.4134738,24.7594719,72.2838974,1,7.1630354,4.0744061,756.020874,1.7296665,0.3535992,2.1826689,0.2283177,59.972477,24.2826252,111.3476105,5.5836239,36.8658981,4.3873482,17.4012966,0.0339745,0.0577547,2.0091519,31.9550228,21.7664394,1.3698319,1031.0087891,1.0265371,1.6750115,19.9713402,58.3238487,926.0192871,21.5397987,78.4082718,0.0273972,0.6424829,12.0063543,0.2417742,1.7595592,373.5232849,0.1,8.9491863,0.5679798,0.3639825,2.1172147,96.4984741,0.9875607,18.9870987,79.1514511,0.77948,0.0613564,0,1.0493658,0.4267628,0.0423622,1.1761549,0,4.2375708,14.3374643,0,6.4052114,4.2563877,0.7756803,36.4697723,10.4994354,30.512291,0,0,0.0867716,0,0,55,620.6923828,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"36",36,"As","Dissolved",0.41,7532,7102,485,28.3694954,0,0.0096542,0.394749,1.8170114,0.1763338,59.8279305,27.5625572,153.1560516,6.1398187,33.9073524,0.0455183,1.8454714,0,4.4030552,16.9022751,0,0,1.7146751,0.2893957,0.0222344,0,2.8035154,1.7991678,30.7653408,24.1950264,1.3567827,1096.6489258,1.0016003,1.3225925,25.1723824,63.5710182,1.2061933,18.9004421,0,3.2007065,900.8798218,25.6510906,86.8544922,0.7084209,13.3962793,0,0.2240605,1.7566552,269.0992432,0.0244258,0,0.1,9.8660526,0.6253088,0.4232562,7.0283113,1.7840611,0.426548,11.5404596,25.9827099,6.7163548,19.2667866,0.2971952,2.1092217,96.2254181,1.2202002,19.5633602,76.7162781,2.6827633,0.1327761,70.2515488,26.5478439,126.2576981,7.4334011,0.8769417,41.3160133,4.5390449,18.4203854,0.0246084,1.7110792,35.8719254,27.7814064,1.4433566,846.7462158,0.9731079,1.2342395,26.9233494,66.2105103,714.9561768,16.2765198,74.6660843,0.042318,0.688227,14.0736408,0.2313133,1.7479819,293.8578186,0.1,11.1567707,0.5709677,0.4005152,2.2041171,91.1647644,1.4208963,24.2969074,66.8484268,1,6.6780672,4.6964436,698.5808105,1.6502289,0.3440106,1.8409423,0.2256855,57.4333763,25.296833,145.6115723,5.7893691,38.4864502,4.3277659,15.9224272,0.0380071,0.0578872,1.7978137,31.5238533,22.0811157,1.3612075,1115.894165,1.0537186,1.2964029,21.5789051,59.6538162,895.7120361,20.9231243,75.3690186,0.0275461,0.7588311,12.1228771,0.2406478,1.7482136,271.7345886,0.1,9.3558798,0.5810987,0.3719257,2.0194571,90.0455704,1.048368,18.1679001,76.8281174,1.8114223,0,0,1.1446018,0.3971275,0,2.3477402,0,4.0030742,20.727396,0,6.1119051,3.4382758,1.8045926,26.838213,7.327754,30.4540157,0,0,0.2118094,0,0,53,361.3924866,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"38",38,"As","Dissolved",0.87,7535,7108,220,28.3694954,0,0.0096542,0.394749,1.8170114,0.1763338,59.8279305,27.5625572,153.1560516,6.1398187,33.9073524,0.0455183,1.8454714,0,4.4030552,16.9022751,0,0,1.7146751,0.2893957,0.0222344,0,2.8035154,1.7991678,30.7653408,24.1950264,1.3567827,1096.6489258,1.0016003,1.3225925,25.1723824,63.5710182,1.2061933,18.9004421,0,3.2007065,900.8798218,25.6510906,86.8544922,0.7084209,13.3962793,0,0.2240605,1.7566552,269.0992432,0.0244258,0,0.1,9.8660526,0.6253088,0.4232562,7.0283113,1.7840611,0.426548,11.5404596,25.9827099,6.7163548,19.2667866,0.2971952,2.1092217,96.2254181,1.2202002,19.5633602,76.7162781,2.6827633,0.1327761,70.2515488,26.5478439,126.2576981,7.4334011,0.8769417,41.3160133,4.5390449,18.4203854,0.0246084,1.7110792,35.8719254,27.7814064,1.4433566,846.7462158,0.9731079,1.2342395,26.9233494,66.2105103,714.9561768,16.2765198,74.6660843,0.042318,0.688227,14.0736408,0.2313133,1.7479819,293.8578186,0.1,11.1567707,0.5709677,0.4005152,2.2041171,91.1647644,1.4208963,24.2969074,66.8484268,1,6.6780672,4.6964436,698.5808105,1.6502289,0.3440106,1.8409423,0.2256855,57.4333763,25.296833,145.6115723,5.7893691,38.4864502,4.3277659,15.9224272,0.0380071,0.0578872,1.7978137,31.5238533,22.0811157,1.3612075,1115.894165,1.0537186,1.2964029,21.5789051,59.6538162,895.7120361,20.9231243,75.3690186,0.0275461,0.7588311,12.1228771,0.2406478,1.7482136,271.7345886,0.1,9.3558798,0.5810987,0.3719257,2.0194571,90.0455704,1.048368,18.1679001,76.8281174,1.8114223,0,0,1.1446018,0.3971275,0,2.3477402,0,4.0030742,20.727396,0,6.1119051,3.4382758,1.8045926,26.838213,7.327754,30.4540157,0,0,0.2118094,0,0,54,305.6336975,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"39",39,"As","Dissolved",3.4,39945,7030,380,28.2953892,0,0.0098324,0.4006669,1.812646,0.1753929,59.5879822,27.0318508,149.9541168,6.137785,33.3602829,0.0462858,1.8029981,0,4.3527031,16.7229347,0,0,1.6651601,0.2883763,0.0221981,0,2.8050168,1.7942282,30.6587791,24.1673985,1.3560141,1070.9630127,0.9944615,1.3152523,24.6581669,62.7766685,1.2065904,18.8789215,0,3.2058036,892.4987793,26.2808762,86.9991074,0.7130343,13.2113733,0,0.2236489,1.736452,268.3085327,0.0244045,0,0.1,9.8425684,0.6164857,0.4232384,7.0125108,1.8095983,0.4334552,11.5616627,25.4421272,6.5767627,18.9320698,0.2904836,2.1075494,95.6680222,1.2107583,19.4358082,76.27491,2.7019763,0.1327989,70.0287018,26.2205906,123.9110031,7.4269772,0.8816193,40.6584167,4.4825702,18.2415771,0.0245147,1.7030233,35.7317123,27.7519512,1.4406527,834.1218872,0.9728295,1.2095178,26.3786755,65.3542557,710.2823486,16.2852707,74.2872238,0.0424045,0.6887053,13.8905926,0.2311422,1.7339606,293.1834106,0.1,11.0984983,0.5652403,0.4003176,2.2040653,90.6700287,1.4175264,24.1543045,66.3551865,1,6.6430135,4.6661625,697.277832,1.6366676,0.3407742,1.8313595,0.2227951,57.2116127,24.8828945,142.3196411,5.7901053,37.8048515,4.2780623,15.7738256,0.0371242,0.0569558,1.7973367,31.4021225,22.0653534,1.3610972,1087.8963623,1.046869,1.2897469,21.2198067,58.9256706,886.7245483,20.8625679,75.2789917,0.0274616,0.7607963,11.9801807,0.239725,1.7286891,270.6141968,0.1,9.3266048,0.5728595,0.3727014,2.0189753,89.4545441,1.0459064,18.0791664,75.9396591,1.8700744,0,0,1.127744,0.3956565,0,2.4344735,0,3.9965894,21.3184776,0,6.1091518,3.4605005,1.8646561,26.3606339,7.2100883,30.335268,0,0,0.2191415,0,0,54,305.6336975,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
"40",40,"As","Dissolved",2,40022,7318,100,27.567627,0,0.0106747,0.3302024,1.8748671,0.173694,59.8721199,25.0665455,133.9606476,6.0040026,31.3596344,0.0372872,1.7389115,0,4.2260909,16.3691559,0,0,1.397633,0.2880907,0.0233736,0,2.2142701,1.8051659,31.9936199,23.980547,1.3811275,975.729187,0.9596829,1.3577615,22.190033,61.7222977,1.2115132,18.7416859,0,3.3513293,861.0997925,25.7355556,85.588562,0.6983601,12.6581783,0,0.221545,1.659109,284.1546631,0.0242905,0,0.1,10.346734,0.590218,0.4154097,6.5594597,1.8101116,0.3593885,10.532074,27.6445179,6.9977212,20.4454784,0.2935553,2.2788749,94.7669678,1.139967,19.368515,74.7567139,2.7457135,0.119614,67.7325745,24.1951561,111.6350784,7.3868365,0.9072806,37.907341,4.294692,18.2649727,0.0286255,1.6667404,36.5019417,29.0598602,1.4861811,756.6223145,0.9458723,1.2254876,23.8216724,63.0270958,684.2490845,16.0403709,73.9819336,0.0419169,0.6903453,13.3536997,0.2284493,1.6637369,294.7246399,0.1,11.4141884,0.5369816,0.392892,2.31686,89.2211533,1.3918417,24.0297794,64.8453064,1,6.6846547,4.3004742,694.8519287,1.6198345,0.3338108,1.9371456,0.2109462,57.1303444,23.7047157,126.1318512,5.6636348,34.7485313,4.1448522,15.5912628,0.0332894,0.0538431,1.8163763,31.6873322,21.879343,1.4117336,995.2733154,1.0122215,1.3450427,19.6977425,58.4368134,852.2263184,20.8203449,73.985939,0.0269689,0.7360798,11.7222462,0.2415762,1.6600568,289.4549561,0.1,9.5044737,0.5491703,0.3710268,2.1881824,88.9258881,1.0195194,17.9980927,72.182312,1.9867891,0,0,1.0256567,0.3954086,0,1.9912739,0,4.0425715,21.4671154,0,6.9390836,3.6176541,1.9785939,26.9017391,6.8730955,29.9746761,0,0,0.2326032,0,0,51,344.3421936,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
"41",41,"As","Dissolved",2,40034,6970,232,28.1093693,0,0.0100593,0.3974315,1.8326383,0.17447,59.0801544,26.4379292,145.7515411,6.1301017,32.7499542,0.0457412,1.7491171,0,4.3032451,16.5500507,0,0,1.5670851,0.2882482,0.0221575,0,2.754406,1.7922904,30.4152775,24.0552177,1.3659246,1041.5340576,0.9846766,1.3238076,23.9893246,62.3293877,1.2087435,18.7433968,0,3.2539692,886.1637573,26.4950352,86.720932,0.7113103,13.0262299,0,0.2230437,1.7082738,270.1039734,0.0243818,0,0.1,9.7419901,0.6065835,0.4207634,6.9225993,1.8309358,0.4297624,11.4569645,25.6108551,6.4798627,19.1556435,0.2905682,2.0986788,95.2316742,1.1903529,19.2492619,75.9167328,2.7180648,0.132724,69.4901962,25.7143707,120.65448,7.4120998,0.8819678,39.7783279,4.4132252,18.0741081,0.0243895,1.7020918,35.4078369,27.6576939,1.4467974,814.7919312,0.97291,1.2060955,25.6915665,64.4403687,707.527771,16.2500038,74.2889252,0.042485,0.6882935,13.6727991,0.2306578,1.7152236,294.0055237,0.1,10.9984226,0.5577774,0.3984215,2.2004673,90.1832733,1.411343,23.9285183,65.8124695,1,6.6286221,4.5733476,694.7903442,1.6192632,0.335781,1.8530842,0.2193967,56.7058105,24.4556427,137.9311218,5.7854543,36.9238777,4.2285089,15.6503143,0.0358945,0.0558348,1.7982655,31.0961571,21.9745655,1.3766086,1056.8265381,1.0369419,1.3000671,20.7755413,58.5862846,878.8405151,20.7453003,74.9715805,0.0273329,0.756366,11.8606577,0.2384013,1.7028809,272.5224304,0.1,9.1980381,0.5638421,0.3714195,2.0072434,89.0626526,1.0365069,17.9551888,74.9009018,1.8915668,0,0,1.1000243,0.395367,0,2.4170177,0,4.009552,21.748106,0,6.0896196,3.4562488,1.8867449,26.3354664,7.1723838,30.062561,0,0,0.2217392,0,0,53,305.6336975,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
"43",43,"As","Dissolved",2,7559,6620,750,22.1164284,0,0,0.8045492,0.9266718,0.1712395,59.1143112,16.8373489,88.8293686,6.9509478,25.3851242,0.0894502,1.8311045,0.0972996,3.1072299,11.7497015,0,0,1.3448465,0,0.0212527,0,4.8581123,1.410724,30.1084766,24.9722996,0.618126,709.4812622,0.8784128,0.5177604,17.6601391,33.3022728,0,21.4244957,0,0,502.6264954,50.2319832,78.6463394,0.73569,9.2253761,0,0.2514649,1.5356344,127.4724274,0.0226221,0,0.1,10.1027489,0.4662744,0.4614902,8.1238098,0.9624918,0.7499281,13.8849363,11.6544189,5.183804,6.6196966,0,2.2675047,69.1876984,1.388903,19.0837822,57.4384155,1.9411368,0.1473376,74.6907196,23.4207115,86.4660034,8.8085804,0.7892231,30.4068871,3.8143463,16.2927685,0.0213002,1.4289153,36.6673927,32.3342896,0.7913933,901.612793,1.0062284,0.3909662,19.5675392,51.3958435,481.4229736,21.558876,79.5480576,0.0376126,0.8304571,11.5977507,0.2607724,1.8458655,155.6394196,0.1,12.2622433,0.470998,0.5508248,2.8212073,79.8766327,1.7531536,25.7792645,64.3533401,1,4.5963678,5.8064613,513.722229,1.3522919,0.3489479,0.8302599,0.1914333,56.0621338,16.3175812,83.3279419,6.1929708,29.3705006,3.038213,10.8240261,0.0297371,0.0465356,1.349389,30.0667839,22.5164471,0.5806983,710.5896606,0.8739162,0.4718817,15.4088573,33.9470215,543.8345337,20.5828285,69.132431,0.0258516,0.7489972,8.5165863,0.2497309,1.5333188,121.9579163,0.1,9.656436,0.4388068,0.4406957,2.1354969,63.1747856,1.1700519,17.607872,60.3139572,2.7039087,0,0,1.02036,0,0,7.6329203,0,0.732438,39.5569153,0,8.4150658,3.1408846,2.8547533,8.0294008,3.0227985,28.7306938,0,0.0040596,0.3420557,0.1973004,0,46,479.8837891,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
"44",44,"As","Dissolved",0,40518,6657,50,27.3609161,0,0.0116612,0.4163934,1.8067203,0.170344,59.370285,22.8220291,119.1337662,6.2431679,30.3618412,0.0482715,1.5390687,0,3.9557891,15.6346912,0,0,1.2357757,0.2846704,0.0219871,0,2.705992,1.734539,31.5884037,24.7937279,1.3098924,888.7507324,0.9227855,1.2836965,20.6978607,53.0841293,0.8569537,19.0315704,0,2.8013837,806.3342285,29.4689693,87.6207504,0.7491136,11.8754959,0,0.2204941,1.5993803,271.4990845,0.024279,0,0.1,10.4181509,0.5501556,0.4268645,7.1735559,1.9410051,0.4513342,11.8430357,23.5293922,5.8317652,17.7925644,0.2681367,2.275166,90.3961258,1.1473075,18.9746799,73.492775,2.8034365,0.1325132,67.4827347,22.6124058,95.6645737,7.608602,0.8845919,34.7373466,4.0251493,17.3980961,0.0263971,1.5920861,36.3581734,29.9262638,1.4268336,706.0115356,0.950439,1.0798011,22.1661949,52.0778046,624.1751709,16.7290859,72.6884003,0.0422278,0.7453204,12.5538759,0.2176214,1.6596731,283.9922485,0.1,11.304471,0.5059009,0.4113397,2.3355618,84.1182709,1.4391942,23.6999512,63.264534,1,6.4865499,4.2976537,694.3818359,1.5648125,0.306917,1.8212335,0.1955844,56.7679825,21.6976643,111.3372955,5.8471179,33.1627274,3.8880522,14.9105139,0.0298357,0.0502359,1.776587,31.4176254,22.7597694,1.3407379,895.0274658,0.9553364,1.2732519,18.4551926,50.5111961,796.3978882,20.4242496,74.4505463,0.0262063,0.7727245,10.9745188,0.2383973,1.5817038,274.4098816,0.1,9.5314865,0.5109509,0.3853482,2.1950951,83.8789825,1.0491297,17.7422295,68.6955872,2.2620459,0,0,0.9599437,0.3902307,0,2.4367909,0,3.3094389,25.1477776,0,7.4960938,3.8636231,2.2599108,23.2711048,5.5006576,29.6284294,0,0,0.266602,0,0,53,283.6247864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
